Node,word,frequency_word,betweenness_centrality,clustering_coefficient,eigenvector_centrality,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
1711,estancado,1.0,7.327765613099386e-06,0.011904761904761906,0.004187738039453972,0,0,1,0,1,0,0,1,0
1698,das,1.0,5.1047547949331135e-06,0.015873015873015876,0.004183070098000801,0,0,1,1,0,1,0,1,0
454,terminas,1.0,1.491313679402094e-05,0.012936194642439974,0.0041828566968415,0,0,1,0,1,0,0,1,0
671,deshecha,1.0,6.018238528654067e-06,0.015873015873015876,0.004182353028350459,0,0,1,1,0,1,0,1,0
374,bieneso,1.0,9.516929793246625e-05,0.011904761904761906,0.004182089314471856,0,1,0,0,1,0,0,1,0
545,munecas,1.0,3.7994093164417433e-05,0.011904761904761906,0.004180835120523117,0,1,0,0,1,0,0,1,0
1217,escape,1.0,1.1050893651312268e-05,0.011904761904761906,0.004173471537031585,0,0,1,0,1,0,0,1,0
1202,pueday,1.0,9.448191388589718e-05,0.011904761904761906,0.004169086096136362,0,1,0,0,1,0,0,1,0
1039,fechas,1.0,1.11732683668139e-05,0.011904761904761906,0.004168876800325217,0,0,1,0,1,0,0,1,0
1637,cesa,1.0,4.07396642990109e-05,0.012936194642439974,0.004168048886912095,0,1,0,0,1,0,0,1,0
1234,viernes,1.0,1.639127716348689e-05,0.012936194642439974,0.004162790151540912,0,0,1,0,1,0,0,1,0
1689,vestirme,1.0,1.7172060333047492e-05,0.015873015873015876,0.0041550552062798165,0,0,1,1,0,1,0,1,0
929,conoce,1.0,3.6706942987996225e-05,0.03442033883033243,0.00415460406626527,0,1,0,1,0,1,0,1,0
928,absoluto,1.0,2.4418042746819277e-05,0.03442033883033243,0.00415460406626527,0,1,0,1,0,1,0,1,0
863,tdo,1.0,8.056863580787729e-05,0.011904761904761906,0.0041429556490263295,0,1,0,0,1,0,0,1,0
1448,clase,1.0,1.5173116124422066e-05,0.015873015873015876,0.004131601335049016,0,0,1,1,0,1,0,1,0
1136,bolita,1.0,6.229614387033692e-06,0.015873015873015876,0.00412971463209578,0,0,1,1,0,1,0,1,0
1757,entonces,1.0,0.00024924129844504237,0.011904761904761906,0.004128366227129807,0,1,0,0,1,0,0,1,0
1070,agobiando,1.0,0.00031202673046129765,0.012936194642439974,0.00412723688341968,0,1,0,0,1,0,0,1,0
361,derrumbo,1.0,1.8464328272980696e-05,0.011904761904761906,0.004126027263821395,0,0,1,0,1,0,0,1,0
1508,decirte,1.0,7.120814980174532e-05,0.011904761904761906,0.0041258086291927724,0,1,0,0,1,0,0,1,0
753,ejemplo,1.0,0.0009721363625311324,0.012936194642439974,0.004124862684304264,1,0,1,0,1,0,0,1,0
1081,rara,1.0,0.00010403469184498091,0.011904761904761906,0.004116071881732122,0,1,0,0,1,0,0,1,0
1015,malditos,1.0,2.4587511381772396e-06,0.015873015873015876,0.004113403732252059,0,0,1,1,0,1,0,1,0
117,clima,1.0,0.00013807262732902772,0.011904761904761906,0.004102170798463247,0,1,0,0,1,0,0,1,0
986,negatividad,1.0,0.0,0.02793525476023609,0.004093345960228011,0,0,1,1,0,1,0,1,0
1555,ilusion,1.0,5.339619193174541e-05,0.01365972051709289,0.004083552237010258,0,1,0,0,1,0,0,1,0
765,dias,26.0,1.1300416937519258e-05,0.015873015873015876,0.0040829787599976405,0,0,1,1,0,1,0,1,0
1417,dejase,1.0,1.2595889501463008e-05,0.014235718460191268,0.004077908863010131,0,0,1,0,1,0,0,1,0
1670,abuela,1.0,4.526184671827504e-05,0.011904761904761906,0.004064862179320606,0,1,0,0,1,0,0,1,0
955,embargo,1.0,1.5527620344608556e-05,0.012936194642439974,0.004053979701258742,0,0,1,0,1,0,0,1,0
961,llo,1.0,5.288455703711224e-05,0.011904761904761906,0.004049679610717712,0,1,0,0,1,0,0,1,0
270,muestra,1.0,4.7559515739885406e-05,0.011904761904761906,0.0040490808361587135,0,1,0,0,1,0,0,1,0
1519,aislamiento,1.0,0.0002868802611141121,0.011904761904761906,0.004047327876553746,0,1,0,0,1,0,0,1,0
223,depresivas,1.0,5.222525953763403e-05,0.013967627380118043,0.004046558698510639,0,1,0,0,1,0,0,1,0
489,podrian,1.0,1.5157118511957266e-05,0.011904761904761906,0.004041278545132828,0,0,1,0,1,0,0,1,0
95,imagino,1.0,0.000652656730735925,0.017935881348372013,0.004041264568307914,1,0,1,1,0,1,0,1,0
1644,hablandole,1.0,7.198104593044102e-06,0.022597794459230738,0.004038205641739183,0,0,1,1,0,1,0,1,0
1632,roja,1.0,2.2380729307005672e-05,0.011904761904761906,0.004037651236996166,0,1,0,0,1,0,0,1,0
